0 NONE 0;-32767 0;0
1 NONE 0;-32767 0;0
2 NONE 0;-32767 0;0
3 NONE 0;-32767 0;0
4 NONE 0;-32767 0;0
5 NONE 0;-32767 0;0
10 KEY_A 0;0 0;0
330 KEY_A;KEY_B 0;0 0;0
332 KEY_A;KEY_B 0;0 0;0
334 KEY_A;KEY_B 0;0 0;0
336 KEY_A;KEY_B 0;0 0;0
338 KEY_A;KEY_B 0;0 0;0
340 KEY_A;KEY_B 0;0 0;0
342 KEY_A;KEY_B 0;0 0;0
344 KEY_A;KEY_B 0;0 0;0
346 KEY_A;KEY_B 0;0 0;0
348 KEY_A;KEY_B 0;0 0;0
350 KEY_A;KEY_B 0;0 0;0
352 KEY_A;KEY_B 0;0 0;0
354 KEY_A;KEY_B 0;0 0;0
356 KEY_A;KEY_B 0;0 0;0
358 KEY_A;KEY_B 0;0 0;0
360 KEY_A;KEY_B 0;0 0;0
362 KEY_A;KEY_B 0;0 0;0
364 KEY_A;KEY_B 0;0 0;0
366 KEY_A;KEY_B 0;0 0;0
368 KEY_A;KEY_B 0;0 0;0
370 KEY_A;KEY_B 0;0 0;0
372 KEY_A;KEY_B 0;0 0;0
374 KEY_A;KEY_B 0;0 0;0
376 KEY_A;KEY_B 0;0 0;0
378 KEY_A;KEY_B 0;0 0;0
380 KEY_A;KEY_B 0;0 0;0
382 KEY_A;KEY_B 0;0 0;0
384 KEY_A;KEY_B 0;0 0;0
386 KEY_A;KEY_B 0;0 0;0
388 KEY_A;KEY_B 0;0 0;0
390 KEY_A;KEY_B 0;0 0;0
392 KEY_A;KEY_B 0;0 0;0
394 KEY_A;KEY_B 0;0 0;0
396 KEY_A;KEY_B 0;0 0;0
398 KEY_A;KEY_B 0;0 0;0
400 KEY_A;KEY_B 0;0 0;0
402 KEY_A;KEY_B 0;0 0;0
404 KEY_A;KEY_B 0;0 0;0
406 KEY_A;KEY_B 0;0 0;0
408 KEY_A;KEY_B 0;0 0;0
410 KEY_A;KEY_B 0;0 0;0
412 KEY_A;KEY_B 0;0 0;0
414 KEY_A;KEY_B 0;0 0;0
416 KEY_A;KEY_B 0;0 0;0
418 KEY_A;KEY_B 0;0 0;0
420 KEY_A;KEY_B 0;0 0;0
422 KEY_A;KEY_B 0;0 0;0
424 KEY_A;KEY_B 0;0 0;0
426 KEY_A;KEY_B 0;0 0;0
428 KEY_A;KEY_B 0;0 0;0
430 KEY_A;KEY_B 0;0 0;0
432 KEY_A;KEY_B 0;0 0;0
434 KEY_A;KEY_B 0;0 0;0
436 KEY_A;KEY_B 0;0 0;0
438 KEY_A;KEY_B 0;0 0;0
440 KEY_A;KEY_B 0;0 0;0
442 KEY_A;KEY_B 0;0 0;0
444 KEY_A;KEY_B 0;0 0;0
446 KEY_A;KEY_B 0;0 0;0
448 KEY_A;KEY_B 0;0 0;0
450 KEY_A;KEY_B 0;0 0;0
452 KEY_A;KEY_B 0;0 0;0
